plant_code,date,day,Actuals,,AA_Fcst,LR_Fcst,DT_Fcst,XGB_Fcst,XGBRS_Fcst,,AA_APE,LR_APE,DT_APE,XGB_APE,XGBRS_APE,,Fix_Fcst,Fix_APE
1020,11/1/2022,Tuesday,3910,,3867,4034,2090,1703,1767,,1%,3%,47%,56%,55%,,3867,1%
1020,11/2/2022,Wednesday,4540,,3935,4096,2090,1681,1743,,13%,10%,54%,63%,62%,,3935,13%
1020,11/3/2022,Thursday,3960,,3403,3597,2565,1559,1819,,14%,9%,35%,61%,54%,,3403,14%
1020,11/4/2022,Friday,3250,,3405,3610,2565,1583,1861,,5%,11%,21%,51%,43%,,3405,5%
1020,11/5/2022,Saturday,4190,,3397,3610,2565,1547,1995,,19%,14%,39%,63%,52%,,3397,19%
1020,11/6/2022,Sunday,4590,,3259,3491,1500,1256,1554,,29%,24%,67%,73%,66%,,3259,29%
1020,11/7/2022,Monday,1785,,3382,3594,1500,1541,1913,,89%,101%,16%,14%,7%,,1913,7%
1020,11/8/2022,Tuesday,5215,,3831,3910,1500,1436,1470,,27%,25%,71%,72%,72%,,3831,27%
1020,11/9/2022,Wednesday,5004,,3757,3843,1500,1446,1473,,25%,23%,70%,71%,71%,,3757,25%
1020,11/10/2022,Thursday,4800,,3974,4049,1500,1457,1489,,17%,16%,69%,70%,69%,,3974,17%
1020,11/11/2022,Friday,5055,,4215,4279,1500,1468,1520,,17%,15%,70%,71%,70%,,4215,17%
1020,11/12/2022,Saturday,4795,,4025,4103,1500,1535,1510,,16%,14%,69%,68%,69%,,4025,16%
1020,11/13/2022,Sunday,4581,,4003,4086,1500,1552,1500,,13%,11%,67%,66%,67%,,4003,13%
1020,11/14/2022,Monday,1505,,4320,4363,1500,1795,1914,,187%,190%,0%,19%,27%,,1914,27%
1020,11/15/2022,Tuesday,6150,,4223,4693,1505,1595,1551,,31%,24%,76%,74%,75%,,4223,31%
1020,11/16/2022,Wednesday,4885,,4301,4798,1505,1598,1538,,12%,2%,69%,67%,69%,,4301,12%
1020,11/17/2022,Thursday,4770,,4347,4859,1505,1630,1544,,9%,2%,68%,66%,68%,,4347,9%
1020,11/18/2022,Friday,5160,,4355,4879,1505,1603,1544,,16%,5%,71%,69%,70%,,4355,16%
1020,11/19/2022,Saturday,3065,,4293,4831,1505,1592,1499,,40%,58%,51%,48%,51%,,4293,40%
1020,11/20/2022,Sunday,5225,,4246,4799,1505,1593,1496,,19%,8%,71%,70%,71%,,4246,19%
1020,11/21/2022,Monday,1785,,4545,5104,1505,1646,1633,,155%,186%,16%,8%,9%,,1633,9%
1020,11/22/2022,Tuesday,4452,,3785,4363,1785,1624,1642,,15%,2%,60%,64%,63%,,3785,15%
1020,11/23/2022,Wednesday,5123,,3836,4432,1785,1618,1645,,25%,13%,65%,68%,68%,,3836,25%
1020,11/24/2022,Thursday,5370,,3892,4496,1785,1640,1614,,28%,16%,67%,69%,70%,,3892,28%
1020,11/25/2022,Friday,5110,,3882,4491,1785,1589,1598,,24%,12%,65%,69%,69%,,3882,24%
1020,11/26/2022,Saturday,4790,,4008,4628,1785,1643,1647,,16%,3%,63%,66%,66%,,4008,16%
1020,11/27/2022,Sunday,5185,,3960,4563,1785,1571,1581,,24%,12%,66%,70%,70%,,3960,24%
1020,11/28/2022,Monday,1995,,3977,4590,1785,1571,1720,,99%,130%,11%,21%,14%,,1720,14%
1020,11/29/2022,Tuesday,3745,,4587,5254,1505,1784,2214,,22%,40%,60%,52%,41%,,4587,22%
1020,11/30/2022,Wednesday,3540,,4571,5264,1505,1797,2260,,29%,49%,57%,49%,36%,,4571,29%
