,plant_code,plant_name,material_number,material_name,uom,date,forecast_quantity,distribution_channel,uid,uuid,run_date,script_runtime,,Actuals,APE
0,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/14/2022,1406,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2400,41%
1,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/15/2022,1591,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,3520,55%
2,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/16/2022,1734,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,3620,52%
3,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/17/2022,1740,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2620,34%
4,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/18/2022,1844,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2580,29%
5,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/19/2022,1766,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2283,23%
6,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/20/2022,2014,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2545,21%
7,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/21/2022,1719,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,1460,18%
8,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/22/2022,1888,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2141,12%
9,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/23/2022,1990,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2720,27%
10,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/24/2022,2034,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2180,7%
11,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/25/2022,2146,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2000,7%
12,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/26/2022,2043,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,2560,20%
13,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/27/2022,2154,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,3320,35%
14,1000,Kannamangla,WC0000000000270006,tomato hybrid,KG,11/28/2022,1765,50,1000_WC0000000000270006,1000_WC0000000000270006_50,12/15/2022,0.423092898,,1480,19%
