plant_code,plant_name,material_number,material_name,uom,date,forecast_quantity,distribution_channel,uid,uuid,run_date,script_runtime
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/1/2022,1278,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.715540282
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/2/2022,1294,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.715540282
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/3/2022,1281,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.715540282
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/4/2022,1281,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.715540282
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/5/2022,1280,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.715540282
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/6/2022,1404,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.715540282
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/7/2022,1258,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.715540282
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/8/2022,1343,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/9/2022,1147,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/10/2022,1383,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/11/2022,1384,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/12/2022,1384,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/13/2022,1374,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/14/2022,1374,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/15/2022,1374,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.46312325
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/16/2022,1361,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.469586301
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/17/2022,1405,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.469586301
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/18/2022,1357,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.469586301
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/19/2022,1515,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.469586301
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/20/2022,1368,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.469586301
1056,Pondicherry,WC0000000000270030,tomato country economy,KG,11/21/2022,1046,50,1056_WC0000000000270030,1056_WC0000000000270030_50,12/8/2022,0.469586301
